COV #,VIN,Model,Model Name,Color,Plate #,Model Family,Demo or Display
41558,1HD1KTM15GB601825,FLTRXS,Road Glide Special ,COSMIC BLUE PRL,P 41 42,TOURING,DEMO
41559,1HD1KTM12GB603869,FLTRXS,Road Glide Special ,COSMIC BLUE PRL,P 41 72,TOURING,DEMO
41560,1HD1KTM13GB603900,FLTRXS,Road Glide Special ,COSMIC BLUE PRL,S 41 96,TOURING,DEMO
41561,1HD1KTM13GB600902,FLTRXS,Road Glide Special ,COSMIC BLUE PRL,T 41 19,TOURING,DEMO
41562,1HD1KTM18GB602015,FLTRXS,Road Glide Special ,COSMIC BLUE PRL,S 41 81,TOURING,DEMO
41563,1HD1MCM1XGB850034,FLRT,Trike Freewheeler,BLACK,S 41 83,TRIKE,DEMO
41564,1HD1MCM16GB850161,FLRT,Trike Freewheeler,BLACK,P 41 60,TRIKE,DEMO
41565,1HD1MCM11GB850388,FLRT,Trike Freewheeler,BLACK,P 41 03,TRIKE,DEMO
41566,1HD1MCM13GB850375,FLRT,Trike Freewheeler,BLACK,S 41 95,TRIKE,DEMO
41567,1HD1MCM14GB850353,FLRT,Trike Freewheeler,BLACK,R 41 32,TRIKE,DEMO
41568,1HD1MCM12GB850349,FLRT,Trike Freewheeler,BLACK,R 41 69,TRIKE,DEMO
41569,1HD1HPH17GC800191,VRSCF,V-Rod Muscle,VELOCITY RED FLM,S 41 65,V-Rod,DEMO
41570,1HD1HPH19GC800130,VRSCF,V-Rod Muscle,VELOCITY RED FLM,S 41 66,V-Rod,DEMO
41571,1HD1HPH14GC800018,VRSCF,V-Rod Muscle,VELOCITY RED FLM,T 41 01,V-Rod,DEMO
41572,1HD1HPH18GC800250,VRSCF,V-Rod Muscle,VELOCITY RED FLM,R 41 19,V-Rod,DEMO
41573,1HD1HPH17GC800188,VRSCF,V-Rod Muscle,VELOCITY RED FLM,S 41 55,V-Rod,DEMO
41574,1HD1HPH12GC800244,VRSCF,V-Rod Muscle,VELOCITY RED FLM,R 41 61,V-Rod,DEMO
41575,1HD4NBB11GC500180,XG750,Street 750,BLACK DENIM,P 41 38,STREET,DEMO
41576,1HD4NBB15GC500179,XG750,Street 750,BLACK DENIM,S 41 35,STREET,DEMO
41577,1HD4NBB15GC500182,XG750,Street 750,BLACK DENIM,S 41 89,STREET,DEMO
41578,1HD4NBB11GC500146,XG750,Street 750,BLACK DENIM,T 41 37,STREET,DEMO
41579,1HD4NBB16GC500174,XG750,Street 750,BLACK DENIM,T 41 21,STREET,DEMO
41580,1HD4NBB14GC500173,XG750,Street 750,BLACK DENIM,P 41 35,STREET,DEMO
41581,1HD1TEN11GB950357,FLHTKSE,CVO Limited,PAL SLV/PHN BLU,P 41 74,TOURING,DEMO
41582,1HD1TEN14GB950384,FLHTKSE,CVO Limited,PAL SLV/PHN BLU,R 41 31,TOURING,DEMO
41583,1HD1TEN12GB950335,FLHTKSE,CVO Limited,PAL SLV/PHN BLU,S 41 14,TOURING,DEMO
41584,1HD1TEN11GB950343,FLHTKSE,CVO Limited,PAL SLV/PHN BLU,P 41 99,TOURING,DEMO
41585,1HD1TEN14GB950398,FLHTKSE,CVO Limited,PAL SLV/PHN BLU,T 41 33,TOURING,DEMO
41586,1HD1TEN17GB950413,FLHTKSE,CVO Limited,PAL SLV/PHN BLU,S 41 26,TOURING,DEMO
41587,1HD1PXN19GB950106,FLHXSE,CVO Street Glide,BLK LIC/MDNTCBT,R 41 05,TOURING,DEMO
41588,1HD1PXN17GB950105,FLHXSE,CVO Street Glide,BLK LIC/MDNTCBT,S 41 79,TOURING,DEMO
41589,1HD1PXN10GB950110,FLHXSE,CVO Street Glide,BLK LIC/MDNTCBT,R 41 55,TOURING,DEMO
41590,1HD1PXN18GB950100,FLHXSE,CVO Street Glide,BLK LIC/MDNTCBT,R 41 87,TOURING,DEMO
41591,1HD1PXN10GB950088,FLHXSE,CVO Street Glide,BLK LIC/MDNTCBT,T 41 99,TOURING,DEMO
41592,1HD1PXN12GB950089,FLHXSE,CVO Street Glide,BLK LIC/MDNTCBT,S 41 64,TOURING,DEMO
41593,1HD1TAN11GB950108,FLTRUSE,CVO Road Glide Ultra,STR SLV/PAL SLV,R 41 10,TOURING,DEMO
41594,1HD1TAN17GB950095,FLTRUSE,CVO Road Glide Ultra,STR SLV/PAL SLV,W 41 63,TOURING,DEMO
41595,1HD1TAN10GB950097,FLTRUSE,CVO Road Glide Ultra,STR SLV/PAL SLV,R 41 45,TOURING,DEMO
41596,1HD1TAN12GB950098,FLTRUSE,CVO Road Glide Ultra,STR SLV/PAL SLV,S 41 49,TOURING,DEMO
41597,1HD1TAN19GB950096,FLTRUSE,CVO Road Glide Ultra,STR SLV/PAL SLV,R 41 54,TOURING,DEMO
41598,1HD1TAN1XGB950091,FLTRUSE,CVO Road Glide Ultra,STR SLV/PAL SLV,P 41 90,TOURING,DEMO
41599,1HD1CT312GC401638,XL1200C,Sportster 1200 Custom,CHARCOAL PEARL,,SPORTSTER,DEMO
41600,1HD1CT310GC401279,XL1200C,Sportster 1200 Custom,SUPERIOR BLUE,,SPORTSTER,DEMO
41601,1HD1LH313GC400513,XL1200C,Sportster 1200 Custom,CHAR DENIM DLX,,SPORTSTER,DEMO
41602,1HD1LL312GC403342,XL1200T,Super Low 1200T,DEEP JADE/BLK,,SPORTSTER,DEMO
41603,1HD1LL314GC402290,XL1200T,Super Low 1200T,PRPLFR/BLKBY SM,,SPORTSTER,DEMO
41604,1HD1LF313GC402279,XL1200V,Seventy-Two,CHARCOAL DENIM,,SPORTSTER,DEMO
41605,1HD1LF319GC403405,XL1200V,Seventy-Two,HC BLK GOLD FLK,,SPORTSTER,DEMO
41606,1HD1LC310GC401654,XL1200X,Forty-Eight,HCCANCUN BL FLK,P 41 53,SPORTSTER,DEMO
41607,1HD1LC312GC402000,XL1200X,Forty-Eight,HC GOLD FLAKE,,SPORTSTER,DEMO
41608,1HD4CR211GC402295,XL883L,Super Low  ,BLACK,,SPORTSTER,DEMO
41609,1HD4CR213GC403416,XL883L,Super Low  ,CR ICE/FRD TEAL,,SPORTSTER,DEMO
41610,1HD4LE218GC402321,XL883N,Iron 883,OLIVE GOLD,,SPORTSTER,DEMO
41611,1HD4LE216GC404312,XL883N,Iron 883,HC GOLD FLAKE,T 41 09,SPORTSTER,DEMO
41612,1HD1GZM13GC300484,FLD103,Switchback,BLACK,,DYNA,DEMO
41613,1HD1GZM11GC300242,FLD103,Switchback,VELOCITY RED,,DYNA,DEMO
41614,1HD1GXM10GC301869,FXDBP103,Street Bob,BLACK DENIM,T 41 39,DYNA,DEMO
41615,1HD1VAM18GC300164,FXDBP103,Street Bob,DEEP JADE PEARL,,DYNA,DEMO
41616,1HD1VAM1XGC300165,FXDBP103,Street Bob,BLACK QUARTZ,,DYNA,DEMO
41617,1HD1GYM18GC301978,FXDF103,Fat Bob,OLIVE GOLD,T 41 09,DYNA,DEMO
41618,1HD1GYM11GC301871,FXDF103,Fat Bob,VELOCITY RED,,DYNA,DEMO
41619,1HD1GNM1XGC301902,FXDL103,Low Rider,DEEP JADE/BLK,,DYNA,DEMO
41620,1HD1GNM13GC301918,FXDL103,Low Rider,COSMIC BLUE PRL,,DYNA,DEMO
41623,1HD1JRV16GB010813,FLS103,Slim,BLACK,,SOFTAIL,DEMO
41624,1HD1JRV15GB011015,FLS103,Slim,BLACK DENIM,,SOFTAIL,DEMO
41625,1HD1JRV15GB011872,FLS103,Slim,CHAR STN/BLKSTN,,SOFTAIL,DEMO
41626,1HD1BWV1XGB010566,FLSTC103,Heritage Softail Classic,BILLET SILVER,,SOFTAIL,DEMO
41627,1HD1BWV19GB011076,FLSTC103,Heritage Softail Classic,COSMIC BLUE PRL,,SOFTAIL,DEMO
41628,1HD1BXV15GC010491,FLSTF,Fat Boy,CHARCOAL PEARL,,SOFTAIL,DEMO
41629,1HD1BXV11GC010214,FLSTF,Fat Boy,COSMIC BLUE PRL,,SOFTAIL,DEMO
41632,1HD1JDV13GB010934,FLSTN,Softail Deluxe,MYS RED/VEL RED,,SOFTAIL,DEMO
41633,1HD1JDV11GB010298,FLSTN,Softail Deluxe,HC GOLD FLAKE,,SOFTAIL,DEMO
41634,1HD1BFV10GB011676,FXSB103,Breakout,BILLET SILVER,,SOFTAIL,DEMO
41635,1HD1BFV10GB010821,FXSB103,Breakout,CRUSHED ICE PRL,S 41 84,SOFTAIL,DEMO
41636,1HD1BFV12GB011601,FXSB103,Breakout,HC BLK GOLD FLK,,SOFTAIL,DEMO
41637,1HD1MAL16GB850389,FLHTCUTG,Trike Tri Glide ,BILLET SILVER,,TRIKE,DEMO
41638,1HD1MAL17GB850384,FLHTCUTG,Trike Tri Glide ,DEEP JADE/BLK,,TRIKE,DEMO
41639,,FLHTCUTG,Trike Tri Glide ,MYS RED/VEL RED,S 41 98,TRIKE,DEMO
41640,1HD1MAL14GB850360,FLHTCUTG,Trike Tri Glide ,PRPLFR/BLKBY SM,,TRIKE,DEMO
41641,1HD1MCM12GB850366,FLRT,Trike Freewheeler,BLACK,,TRIKE,DEMO
41642,1HD1MCM16GB850371,FLRT,Trike Freewheeler,BLACK QUARTZ,,TRIKE,DEMO
41643,1HD1MCM16GB850029,FLRT,Trike Freewheeler,VELOCITY RED,,TRIKE,DEMO
41644,1HD4NAA17GC500163,XG500,Street 500,SUPERIOR BLUE,P 41 57,STREET,DEMO
41645,1HD4NAA15GC500162,XG500,Street 500,VELOCITY RED,R 41 60,STREET,DEMO
41646,1HD4NBB12GC500172,XG750,Street 750,BLACK,S 41 78,STREET,DEMO
41647,1HD4NBB10GC500171,XG750,Street 750,BLACK DENIM,,STREET,DEMO
41648,1HD1HHH17GC800116,VRSCDX,Night Rod Special,CHARCOAL DENIM,,V-Rod,DEMO
41649,1HD1HHH14GC800199,VRSCDX,Night Rod Special,OLIVE GOLD,,V-Rod,DEMO
41650,1HD1HHH13GC800159,VRSCDX,Night Rod Special,BLACK,,V-Rod,DEMO
41651,1HD1HPH15GC800075,VRSCF,V-Rod Muscle,BLACK DENIM,,V-Rod,DEMO
